kanji,kanji-meaning,reading-on,reading-kun,radical,radicals-icons,radicals-icons-names,,meaning-mnemonic,meaning-info,reading-mnemonic,reading-info,id,
?,Play,"?, ?","?, ??, ???","?, ?",,"tiger, drunkard",spikes,Throw a drunkard in a cage with a tiger and some spikes and the tiger will have the time of its life playing with them! Think of all the tiger play time possibilities!,If you were the tiger how would you play with the drunkard?,"If you aren't the tiger, watching it play is a little like watching someone's head get cut off with a guillotine (?). In fact, you don't want to watch it play at all anymore.",What would you rather watch? A guillotine at work or a tiger playing like this?,8572,level58 kanji
?,Receive,"???, ??",?,?,-,sock,,"If someone gives you a sock you should receive it and thank them. You can't just say no or put the sock on the ground and walk away. You should always receive a sock properly, with both hands, when it's handed to you.",Imagine Dobby reaching out to receive his first sock. Don't you want to be happy like that too?,"The best place to receive a sock is in ????. They're famous for their sock stores and schoolgirls who have too many socks. If you walk down the street someone is bound to try to hand you a sock in ????, and you should receive it happily.",Imagine standing in ???? and receiving sock after sock. People just keep giving and you keep receiving!,8573,level58 kanji
?,"Request, Entrust",???,"???, ??","?, ?, ?",-,"mouth, flag, mantis",,"If you want to take a flag out of the mouth of a mantis you have to make a formal request first. Mantises don't like to just give things away, and they're kind of mean so if you try to steal the flag it will probably bite you. So make a formal, polite request if you want it.",Imagine trying to request a flag from a scary mantis that has it sitting in it's mouth. Will it give it to you? Will it bite you? You'll have to wait and see.,"After you request the mantis give you its flag it shocks (???) you by actually spitting it out of its mouth at your feet. You didn't think your request would work, or even if the mantis understood human speech, but it shocked you by doing exactly what you asked!","Imagine your shock at finding out the mantis not only understood your request, but agreed! This is great but also makes you wonder what other creatures can understand you...",8574,level58 kanji
?,Resemblance,???,???,?,,moon,triceratops,You see a triceratops standing in front of a full moon and you can't help but see a really strong resemblance. The triceratops has that round frill thing behind its horns and it looks just like the round full moon. Who knew that a triceratops would resemble the moon!,"Look at the triceratops. Now look at the moon. See the resemblance? Uncanny, don't you think?","The first person to see this resemblance was the Shougun (???). That's why he decided to put a triceratops head with the moon behind it on his mon (family crest). Now he's known as the full moon dinosaur shogun, and he's very famous.","Imagine being the Shougun and seeing the resemblance between a triceratops and the moon for the first time. You'd put that on all your stuff too, if you were him.",8575,level58 kanji
?,Resent,??,????,"?, ?, ?, ?",-,"soul, cross, flowers, shellfish",,"You see a soul on a cross covered in flowers with shellfish at its feet and you suddenly resent them. It's not like you want to be the one up there on the cross, but so many people left flowers and shellfish for them. It should have been you...","Picture the soul on the cross, flowers all around it and shellfish at its feet. Feel your resentment grow.","You realize you resent them because it looks like they're having fun (??). You aren't having fun, and you wanna be! How dare they have fun when you aren't!",You wanna have fun hanging out on a cross with flowers and all the shellfish you can eat. Your resentment grows and grows as you watch the soul having everything you suddenly want.,8576,level58 kanji
?,Ripples,"??, ??",????,"?, ?",,"tsunami, car",scooter,"As the tsunami hits your scooter and your car, it alters the wave, creating ripples.","They're hard to see because a tsunami is pretty big, but your scooter and car do create ripples in the water as it goes past.","Ripples come off of your scooter and car from when they were hit by a tsunami. More importantly, those things were rentals (??), so ripples or not, it doesn't matter if they were hit by a tsunami.","As you watch the ripples come off your car / scooter, be sure to imagine the relief you'd feel if you knew they were rentals and not something owned by you.",8577,kanji level58
?,"Rot, Decay",???,?,"?, ?, ?",-,"tree, ground, prison",,A tree is stuck in a prison under the ground and it's starting to rot and decay.,"Trees can't live without sunlight, and it's too damp underground in a prison. The water gets all moldy and the tree will rot and die.",You get close to the rotting tree and see some rotten cucumbers (???) hanging from its branches. No!,"This poor cucumber tree, left in this ground prison to rot. There's nothing worse than eating a rotten cucumber.",8578,level58 kanji
?,"Run, Bustle",??,??,"?, ?, ?",-,"big, cross, twenty",,You're walking down the street when you see twenty big crosses lined up in front of you. Crosses creep you out and this is way too many for you to keep walking so you decide to run as fast as you can to get past them.,Imagine trying to run down a street with twenty big crosses lining it. It's so scary that you keep running faster and faster as you go.,"You figure since you're already on the run that you might as well hone (??) your running skills while you make your way down this scary, cross lined street.",Imagine distracting yourself from the scary crosses by honing your running skills while you do it.,8579,level58 kanji
?,Sail,??,?,"?, ?, ?",-,"towel, table, drop",,"You hoist your towel above your table, drop into the water and sail away. You turned the towel into an actual sail and you're balancing on top of the table, which is now a boat.","Imagine sailing out into the open sea, drops of water hitting your face, as the towel sail catches the air and carries you away.","As you sail off into the ocean you hear a familiar voice shout out, ""Ahoy!"" Han (??) Solo calls. He's also got a towel sail, but it's on the Millennium Falcon, which is half-submerged in the water.","You sail nervously past Han Solo who also seems to be sailing, though in worse shape than you. But he keeps throwing you finger guns so you figure it's best to just sail on and pretend this never happened.",8580,level58 kanji
?,Sedge,"??, ??",??,"?, ?",,"flowers, roof",bear,The flowers that grow on your roof that look like a sleeping bear is sedge. Sedge grow all over the world!,"You've probably seen them before, you just didn't know what they were called! Looks like a green sleeping bear bum, right?","The next time you see a sedge bite into it. It tastes like sugar (??)! Luckily, it don't taste like bear.",Imagine biting into a sedge flower and tasting the yummy sugary taste. Mmmm.,8581,level58 kanji
?,Serve,???,?,"?, ?",-,"alcohol, pool",,Pour all of your alcohol in the pool to serve all your guests at once! They can all help themselves to as much or as little alcohol as they want! What a great idea!,Imagine serving all of your guests their alcohol by dumping it all in the pool! Now jump in and drink all you want!,As you serve your guests (and yourself) you look over and see Shaq (???) also trying to serve them. And by serving I mean getting served because he's throwing them into the pool.,"Picture Shaq serving your guests by tossing them into your alcohol filled pool. Thanks, Shaq... I guess.",8582,level58 kanji
?,Sigh,??,-,"?, ?, ?",-,"soul, root, fang",,"Deep in your soul, you feel like you want to pull your fangs out by the root, but instead you let out a loud sigh. You're one of the only people you know that has fangs, and it weighs heavily on your soul.","Imagine all of the other people staring and pointing, the kids making fun of you, no one seeing you as equal. And just... sigh. Deep down, you want to get rid of your fangs, but you can't do it.","You sigh again and say, ""I wish I was just a normal guy (??)."" I swear the rest of me is a guy like the rest of you. *sigh*",Now you're staring in the mirror at yourself. You sigh loudly and take out the pliers. You'll be a guy like everyone else. S-soon. As soon as you can muster up enough strength to stop sighing and rip these fangs out.,8583,level58 kanji
?,Silk,??,??,"?, ?, ?",-,"thread, mouth, moon",,"Put thread in the mouth of a worm while the moon is out and it will poop out some silk. That's why they call them silkworms, didn't you know? But it has to be while the moon is out, otherwise normal thread will come right back out the other end of the worm. The moon is what makes the magic happen.",Picture feeding some thread into the mouth of a worm as the light from the full moon shines in on you. See the silk come out of the worm's butt and into your hands.,"The biggest fan of silk is Ken (??) the samurai. Everything he wears is silk, even his armor.","Picture Ken with a silk helmet, silk fundoshi, and a silk sheath for his sword.",8584,level58 kanji
?,Steal,??,"??, ??","?, ?, ?",-,"hole, seven, sword",,"You see seven swords just sitting in a hole and so you decide to steal them. They were just left in that hole after all, it's not like anyone was using them. And even if they were, they'll never know you were the one to steal them, right?","Imagine seeing seven swords just laying abandoned in a hole. Feel the urge to steal them all. Do it, do it!","You steal the swords and realize they aren't just seven random swords, they're from the famous sword sets (??) they sell online. This particular set is from the Seven Samurai movie. Yes! What a great steal!",Imagine your delight as you look up the different sword sets online and realize you happened to steal the best one!,8585,level58 kanji
?,"Sulfur, Sulphur",???,-,"?, ?",,"stone, river",trash,There are stones that smell like trash in the river. You reach in and realize these rocks are made of sulfur. Even the flow of this water can't hide the stink of these sulfur rocks.,"If you haven't smelled sulfur before, it smells a bit like rotten eggs. Something that definitely belongs in the trash.","You throw the sulfur rock as hard as you can, but it hits someone in the back of the head. Oh no, it's Ryu (???) from Street Fighter. You try to apologize and explain that you just didn't want this stinky trash rock, I mean, sulfur rock near you. You didn't know he was there.","Ryu looks down at you, holding the sulfurous rock in one hand. Then he uppercuts you with it! Shoryuken!",8586,level58 kanji
?,Asia,?,?,?,-,asia,,The kanji and the radical that look like this are exactly the same. They are both Asia.,"As long as you know the radical Asia, you know the kanji Asia.",What's the first sound in Asia? It's A (?). Nice and easy!,A is for Asia!,8664,level59 kanji
?,Barracks,??,-,?,-,barracks,,The barracks radical and the barracks kanji are the same!,"Know your radicals, yo!","Barracks are pretty big, so they weigh a ton (??). And they probably take tons of materials to build.",Imagine trying to lift some barracks. They weigh a ton! How are you supposed to do this? Why would you even try to lift something that obviously weighs a couple tons?!,8665,level59 kanji
?,Cape,??,???,"?, ?",-,"mountain, turtle-shell",,"You see a mountain in the shape of a turtle shell sticking out into the ocean. It's a cape! No, not the kind you wear, the geographical kind. When you're on land, most capes look like turtle shell mountains sticking out into the sea. Do you know any capes like that near where you live?",Picture the turtle shell shaped cape. Feel the salty wind in your hair!,"You decide to walk along this cape because it looks like the perfect place to get rid of your old meat sack (???). It's starting to smell, but the ocean breeze from the cape pulls the meat sack out of your hands and off into the sky (then probably into the sea too).","The next time you go to the cape, remember to bring your old, used meat sack. You can toss it right into the ocean and it won't bother you ever again! Just make sure no one sees you.",8666,level59 kanji
?,"Cast, Casting",???,?,"?, ?, ?, ?",-,"gold, three, slide, measurement",,"Take three measurements of gold and slide them into a mold to make a cast! You'll have cast three gold swords, or goblets, or ducks. Just make sure you follow those directions, or your casting won't come out right.",Imagine yourself carefully measuring out the three portions of gold and sliding them into your mold to make a cast of whatever you want. I wonder what it could be?,You open the cast to reveal your gold statue of Chewbacca (???)! It's life-size and now you have three! Your new gold Chewbacca casts are going to guard the entrance to your house.,Picture your majestic Chewbacca casts. Carefully set them outside your front door to guard you. This was a great idea!,8667,level59 kanji
?,"Clumsy, Unskillful",??,???,"?, ?",-,"fingers, exit",,"You have to use your fingers to make an exit because you're so clumsy. You can't seem to get the door to open, your hands just slip around on the nob uselessly. Instead, you take your fingers and stick them into the door frame, pulling the whole thing off the hinges so you can leave.","Of course, you're too clumsy to do that right either, you accidentally threw the door backwards and hurt some people...",After you make your clumsy mistake you realize that these doors come in sets (??). And now you have to try to open another door. And another door. So many sets of doors!,Imagine trying to use your clumsy fingers all over the sets of doors. You keep falling over and hurting yourself. Why is it so hard to leave?!,8668,level59 kanji
?,"Compose, Recite",??,"?, ??","?, ?",-,"say, eternity",,If you want to say how eternity sounds you have to compose a poem. Or an essay. Or a song. Recite those deep thoughts about eternity and impress everyone who hears it.,Try to compose a poem about eternity right now. Just jot it down somewhere.,You decide to compose a poem about an acorn (??). The tiny acorn is the perfect vessel for you to say how eternity feels to you.,Let me recite the acorn poem to you now: Acorns start small Grow up big and tall Spread their baby acorns for all Live on for all eternity,8669,level59 kanji
?,Congratulate,??,???,"?, ?, ?, ?, ?",-,"canopy, helicopter, barb, heart, winter",,"If a pilot manages to land under a canopy with a helicopter that's pierced with a sideways barb in the heart of winter you should congratulate them! People should always be congratulated for doing good things, and this is one of the best things you've ever heard of!",Can you imagine how hard landing a helicopter in just one of these horrible conditions? Congratulate them!,Congratulate the pilot with cake (??)!,Cake is always the appropriate celebratory food.,8670,level59 kanji
?,Dairy,??,-,"?, ?",-,"alcohol, kiss",,You can only give a kiss of alcohol to dairy. If you add anymore than a kiss the dairy will curdle and you won't be able to drink it anymore. Bleh.,Imagine trying to give more than a kiss of alcohol to dairy and watch it bubble and curdle and get all gross and chunky.,"Dairy isn't kept with other drinks, it needs to be placed on a rack (??). I hope you've been using your dairy rack to store your dairy. If you haven't you should get one right away!","Look at all your dairy products: milk, yogurt, cheese, all of it sitting nicely on your dairy rack.",8671,level59 kanji
?,Deliberate,??,??,"?, ?",-,"bamboo, horse",,"If someone makes a bamboo horse, you know it's deliberate. You can't accidentally make an entire horse out of bamboo.","Someone sat down and deliberately planned the entire horse out, collected the materials, and made it by hand.","As you admire all the deliberate details in this bamboo horse, the ghost of Tokugawa (??) Ieyasu appears before you! ""I deliberately made this horse to show you how important being deliberate is. You should be absolutely certain and decisive about your decisions.""",Tokugawa Ieyasu then poofs out of existence and so does the bamboo horse.,8672,level59 kanji
?,Despise,?,"???, ???","?, ?",-,"leader, every",,"Every leader will come to despise their followers. In the beginning everything is fine and dandy, but eventually the leader's followers will ask for more and more things, eventually ridiculous things, and the leader will really despise them for it.",Imagine yourself as a leader who's come to despise every single one of their followers. Look down at them in disgust as they ask you to grant them all a pony.,"The more you despise them, the more booze (?) you drink. This is not smart or healthy, but it's what this kind of hate does to people.","This is not a healthy way to handle things! If you despise someone you should talk to them, don't turn to booze. Don't be like every leader that's come before you.",8673,level59 kanji
?,Endure,"??, ??","?, ??, ?","?, ?",-,"dirt, crab-trap",,"If there is dirt in a crab trap, it's a lot for the crabs to endure. Lots of crabs can't endure this and die before they're hauled out of the sea. The ones that are living are going to die once they're out anyway, so all they can do is try to endure what's about to happen as best they can.","Imagine being a little crab, getting stuck in a crab trap with dirt and other crabs. Endure the horror as long as you can, little friend.","The little crab who endures being stuck in a dirty crab trap just ends up being turned into a seafood taco (?). It held out as long as it could, but then it was chopped up and turned into taco filling.","The next time you eat a crab taco, think about what the crab had to endure for you to get your meal. I hope you're happy with yourself!",8674,level59 kanji
?,"Evil, Misfortune",?,????,"?, ?",-,"spirit, mustache",,"A spirit wearing two mustaches must be evil. Everyone knows a mustache makes you evil, but two? And on a spirit? Yup, definitely evil.","Look at the evil spirit with two mustaches on its spirit face. Imagine its face in detail, especially those mustaches.",You're watching the evil mustache spirit when it starts to float toward your car (?). And it's... hey! It's trashing your car! You knew this guy was evil!,"Imagine running around, flailing your arms, trying to get the spirit to stop ruining your car. But your hands go right through him and his two mustaches. You can't stop his evil doings.",8675,level59 kanji
?,Female,?,"??, ?, ??","?, ?, ?",-,"stop, spoon, turkey",,"If you can stop a turkey by putting a spoon in its face you'll know it's a female turkey. A male turkey will peck the spoon out of your hand and run away. But a female turkey will wonder why you're putting a spoon there, stop, and look up at you wondering if you're okay.",Picture the female turkey stopping when it sees you holding out a spoon. Why are you doing that human? it thinks. Are you sick?,"The female turkey then runs around making a mess (??) of things trying to figure out what's wrong with you. She kicks around her hay, water bowl, and scratches at your pants, making more mess marks on them. But you don't move and she gets even more worried.",Imagine watching a female turkey make a mess of her own cage because she thinks you need help. How sweet.,8676,level59 kanji
?,Friendly,"??, ??",??,"?, ?",-,"eye, womb",,"If you see someone eyeing your womb you're probably going to be weirded out by how friendly they're acting. You only let people who are really, really close to you look at your womb. So if this guy is acting that friendly he should have introduced himself first.",Imagine having someone you aren't friendly with trying to have a look at your womb. No thank you.,"This friendly guy comes up to you and start to introduce himself, ""??-"" but you stop him. He's been getting way too friendly with your womb and you don't want to hear who he is. He can ?? at someone else, you're out.",Imagine only letting this guy start to introduce himself with ?? before walking the heck outta there. Just because he was acting friendly doesn't mean he was actually your friend.,8677,level59 kanji
?,Guts,??,??,"?, ?",-,"moon, dawn",,"If you stay up for so long that you get to watch the moon go down and the dawn come, then people will say you have serious guts. Staying up that late is really hard, and not everyone can do it. If you don't have the guts to stay up, you'll just fall asleep and never see the moon and the sun switch places in the sky.",Imagine the guts you'd have to have to stay up for so long that you see the moon and the sun switch places! A lot of guts!,"You were outside for so long, proving you had guts, that you also got a sweet tan (??) out of it! It's a really deep tan though, and you probably need more guts if you ever want to do all that again.",Imagine having the guts to stay outside to watch the moon and the sun and then getting a really deep tan from it.,8678,level59 kanji
?,Imitate,?,"??, ??","?, ?",-,"fingers, doubt",,"You try to use your fingers to cast doubt on people by using them to imitate each other. Right now you're using your fingers as finger puppets, imitating one of your friends to the others.","Picture your angry friend standing up next to your fingers, shouting, ""I'm the real me! That's just an imitation!"" The rest of your friends look nervously at each other. They doubt this person is real now.",Everyone thinks the friend you were trying to imitate is the imitation now and they have them in a guillotine (?). You even doubt if they're an imitation or if your fingers are the imitation.,"Okay, so that's a lie, Your fingers are definitely imitating them, but you don't want to end up in the guillotine so you keep your mouth shut.",8679,level59 kanji
?,"Lacquer, Varnish",??,???,"?, ?, ?",,"tsunami, tree, water",hat,"A tsunami hits a tree and your hat protects you from the water, but the hat itself is now covered in lacquer. You take it off and see that it's shiny and hard and protected.",Picture your hat and all of the other things the tsunami + tree water touched. It's all been hardened with a thick coating of the lacquer.,You decide to scoop up the rest of the lacquer water and use it on your furniture to protect it from your shih tzu (??). Now it can't bite or scratch or ruin any of your things anymore!,"Watch as your shih tzu tries to bite your now lacquered chair. It gets its teeth around the leg, but it's hard as a rock. The shih tzu starts sneezing and spitting, letting go. Looks like it tastes bad too. Perfect!",8680,level59 kanji
?,Leisure,??,-,"?, ?",-,"gate, tree",,You see a gate with a tree growing through it and it reminds you that you need more leisure time. You walk up to the gate tree and curl up under its branches. No one will bother you because the tree is blocking the gate from being used.,Imagine spending your leisure time curled up under a tree that's growing through a gate. It's so cozy and secluded!,"As you leisurely nap, you hear a gruff voice, ""Ah, you're done too, huh?"" It's Genghis Khan (??)! He's spending his leisure time relaxing under this abandoned gate just like you.","But wait. Isn't Genghis Khan dead now? He winks at you, ""Leisure time is for the dead."" He smiles, and fades away, disappearing into the tree.",8681,level59 kanji
?,"Long For, Yearn","???, ??, ??",???,"?, ?, ?",-,"soul, stand, village",,"Your soul stands in the village you long for. It's the village you're from, and no matter how far you go, no matter how old you get, your soul is still there, and you yearn for it.","Have you ever been away from your village? Maybe you're far away right now, studying Japanese alone. Can't you feel your body longing for your soul back home?","No matter how much you long for it, you can't go back because a cougar (???) is in the way. Whenever you try to return to your village to be reunited with the soul you yearn for, a cougar is back, and won't let you in.",You long for a cougar to leave you alone! You yearn for a cougar to bother someone else!,8682,level59 kanji
?,"Lowly, Base",?,??,"?, ?, ?",-,"drop, rice-paddy, cross",,"You drop to the ground in a rice paddy, and then drop down in front of the cross you keep on you because you're trying to make yourself as lowly as you can in front of God. He said to lower yourself and this is the only way you can interpret that.","Imagine dropping down in a rice paddy, then again in front of your cross. Be as lowly as you can make yourself.","The only problem about being lowly is the heat (?). Everyone always told you that heat rises, but not here. The rice paddy is incredibly hot... unless oh no. Is that the heat of hell?",You tried to make yourself lowly in front of God but this heat is probably a sign that you didn't do it well enough.,8683,level59 kanji
?,Marry,??,-,"?, ?, ?",-,"woman, mouth, big",,You meet a woman whose mouth is big and you instantly know this is the person you want to marry.,"When you think about the person you want to marry, picture their mouth wide in a big, beautiful smile, a wide-open laugh. That's the lady for you, alright!",You marry this woman right away and you both go straight to an inn (??) together!,"When you get to the inn all you do is make her laugh and smile so you can bask in her bright, big, mouth smiles.",8684,level59 kanji
?,Mourning,?,?,"?, ?",-,"oneself, heart",,"If you only let oneself (yourself) into your heart, you'll end up mourning all of the loves and friendships you could have had but didn't let in.","Picture yourself all alone. You never let anyone into your heart but yourself, and now you're mourning the life and friends you could have had.","While you're in mourning, you feel a sharp pain in your crying eyes. A key (?) comes sliding out with your tears. You look around wildly, but you're still alone. Is this... the key of mourning?","You try to push the key back into your body. Back into your eye, you even try to swallow it, but it comes back out. Finally you look down at your mourning heart and try the key there. It clicks. And opens.",8685,level59 kanji
?,Official,"??, ??","???, ????, ??","?, ?, ?",-,"ground, music, sun",,"When underground music makes it out into the light of the sun (the public), it finally becomes official. Music isn't really real unless people hear it outside of those secret underground concerts.",Think of all that music you listened to underground but not in the light of the sun. None of that was official music. None of it!,"Once the music is official, you'll feel it in your soul (??). When you listen to it outside, under the bright sun, your soul gets to finally hear it too.","The official music penetrates into your soul, instead of just your ears, and it's affecting everyone else's souls too! Oh no... wait that's too many people. This was your song! No, it's too popular now, stop your souls from liking it! Ahhh!",8686,level59 kanji
?,Recital,??,-,"?, ?",-,"mouth, now",,"We want you to say things with your mouth right now because it's recital time! Go, perform please. What do you mean you didn't know the recital was right now? Well, tough luck. Recite!",The recital is happening now. So open your mouth and start already!,"Here, if you are too afraid to start the recital now drink this gin (??) to get your courage up. But once you're done drinking it the recital starts!",Drink gin before all your recitals! It'll help!,8687,level59 kanji
?,Reef,???,-,"?, ?, ?",-,"stone, turkey, boil",,The stone that looks like a turkey boiling underwater is just a reef.,"It may seem like there are a bunch of turkeys under there, but it's just the shape the reef takes. Though I guess if you're looking from above the water it really does look like a bunch of turkeys freaking out.","The reef is the Shougun's (???) favorite place to be nowadays. He sits next to the water, and stares down into it for hours.","You don't know if the Shougun likes the reef because he likes the beauty of the ocean, or if he's fantasizing about turkeys boiling. He's a... complex man.",8688,level59 kanji
?,Ridge,-,???,"?, ?, ?",-,"mountain, above, below",,"If you look at what's above and below a mountain you'll just see a bunch of ridges. Mountains are made of ridges going up and down, that's why they're so pointy and so hard to climb.",Imagine looking off the edge of a mountain at all the big ridges going above and below it.,"It's only on this type of mountain ridge that you'll be able to find the rare and adorable Tokyo gecko (???). These tiny little critters can only be found on the ridges going above and below the mountains in Tokyo. There are like six mountains in Tokyo, so the next time you're scaling the ridges keep your eyes open for the Tokyo gecko!",Picture yourself sitting on a mountain ridge in Tokyo and watching a little Tokyo gecko run up and down on them. It's adorable and totally worth the climb.,8689,level59 kanji
?,Sand,"?, ??","??, ????","?, ?",-,"tsunami, few",,People think tsunamis are only made of water but they have a few pieces of sand in there too. There's actually more sand in the ocean than most people think. And tsunamis can't just have water and sharks in them. A few grains of sand will always slip in.,Imagine how those few grains of sand feel to get swept up into a tsunami. They didn't ask for this. They just wanted to stay at the bottom of the sea.,How do I know there's sand in there? Because I saw (?) them!,"I saw the sand, stop doubting me!",8690,level59 kanji
?,"Scorn, Neglect",??,???,"?, ?, ?, ?, ?",-,"flowers, net, drunkard, slide, drop",,"In a flowers net a drunkard slides down like a drop. There they stay, an icon of scorn and neglect.","It's embarrassing to fall down a flowers net while drunk. Despite that, there you are. Everyone who goes by scorns you or neglects you.","Every time you receive scorn and neglect from someone walking by, you say in your drunken voice: ""I bets you (??) I can get up if I want. I bets you I can.""","You try to get up, but no matter how much you ""bets you"" someone that you can get up, you slide back down the flowers net. ""I bets you I can do it next time,"" you say.",8691,level59 kanji
?,Select,"?, ??","??, ??, ??","?, ?",-,"tsunami, fat",,If the tsunami that's heading for your village is fat you should try to select a different one to hit instead. You don't want to select fat tsunamis because they do more damage.,Imagine being at the tsunami store and selecting the least fat one there.,"If you're having trouble selecting which one is the least fat just check to see which tsunamis are eating tacos (?). Only fat tsunamis will be eating them, so just look for one without a taco.",While you select the tsunami that's right for you. Keep an eye out for those fat taco-eating ones. And then stay away from them!,8692,level59 kanji
?,"Spinning, Spin",??,??,"?, ?",-,"thread, direction",,Move thread in the right direction and you'll end up spinning it into yarn. Then you can spin that yarn into a sweater or a scarf with your favorite half tofu half fugu mascot on it!,Imagine spinning thread into whatever your imagination wants.,While you're spinning you realize that you've always wanted to make your own bowling (??) ball. And bowling ball cover. And bowling ball shoes.,"Picture all of these thread-made bowling items. You're a really big bowling fan, huh?",8693,level59 kanji
?,Transition,??,"??, ?????","?, ?, ?",,"helicopter, big, oneself",scooter,"Going from a scooter to a helicopter that's big even for yourself (oneself), is huge transition.","It's an upward transition, so that's nice, but it's still going to take you a long time to get used to using a big helicopter instead of a scooter.","You decide one transition isn't enough, so you transition to a centaur (??) too. Now you're a big half horse-half human creature and you'll fit in the big helicopter better.","A centaur is just a human halfway between transitioning into a horse, so it isn't even that hard to do!",8694,level59 kanji
?,"Uncle, Aunt",???,-,"?, ?, ?",-,"above, small, stool",,"There were lots of things that were above you when you were small that you would need a stool to reach, so you just asked your aunt or uncle to get them for you.","Your parents didn't want you having those things, which is why they put them up high, but your aunt and uncle would always spoil you and get them for you.",You ask your aunt and uncle to help you reach your special obi (?) from high up in the closet.,"You aren't supposed to wear your obi unless it's a special occasion, but your aunt and uncle don't know that. Now you can run around with it on your head and your parents can't stop you by putting it up high!",8695,level59 kanji
?,"Very, Great",??,???,?,-,crab-trap,,Making a mnemonic for a crab trap is VERY hard. So hard that I couldn't come up with one. But it's very possible that one of you will!,How hard is it to come up with a good mnemonic for a crab trap? Very hard!,You know what else is very something? Jeans (??). Jeans are very expensive. Jeans are very tight. Jeans are very popular. Jeans are very a lot of things.,How many sentences can you make with very and jeans? More than me I hope.,8696,level59 kanji
?,Wander,??,-,"?, ?",-,"tsunami, good",,"The tsunami that is good. This fabled creature has never been seen, but you wander the lands in search of it.","You wander everywhere, with no particular direction in mind.","As you wander, you come across a clue. It is fish roe (??).","Wherever the good tsunami goes, it leaves delicious fish roe behind. That's what makes it a good tsunami.",8697,level59 kanji
?,Wood Block,?,???,"?, ?",-,"tree, spicy",,You make a tree spicy by turning it into a wood block print. The spice comes from all the porn you put on there. What? It wasn't me. Porn wood blocks have been around for ages!,Imagine the journey a tree took to become a spicy wood block. MmMmm.,You make these wood blocks using a zoo saw (???) because a regular saw can't handle how spicy these wood blocks are gonna get once they're covered in dirty pictures.,Imagine using a zoo saw to cut the blocks out of a tree that you're going to spice up with awesome smut.,8698,level59 kanji
?,"Worship, Revere",??,??,"?, ?, ?",-,"mountain, roof, jackhammer",,"Under the mountain's roof are people using jackhammers to worship the gods. The noise from their jackhammering echos up through the mountain and up toward the sky where the gods live. As long as each person uses their own jackhammer, the sound will be loud enough to reach them.",Man your own jackhammer! (And worship the gods.),"Unfortunately, the people who live around here can also hear you and the others worship in the mountain and they're going to sue (??) you for the noise.","You try to argue that you can't sue someone for the way they choose to worship, but they say they're all deaf now, all the animals have gone, and no one sleeps anymore because of the shaking. Yikes, they might have a case!",8699,level59 kanji
?,"Annoy, Annoying","??, ??","???, ???","?, ?",-,"fire, geoduck",,"Set fire to a geoduck if you want to annoy it. Fire won't kill a geoduck, but have you ever been on fire? It's not really pleasant. So you'll just annoy it pretty badly.","Imagine how annoyed you would be if someone set YOU on fire for no reason. The geoduck has every reason to find you annoying, dude.",You know who loves annoying geoducks more than anyone else in the universe? Han (??) Solo! If you watch Star Wars closely enough you can see him shooting geoducks with his blaster and catching them on fire for fun.,Think how annoying it must be to be a geoduck when Han Solo comes around.,8785,level60 kanji
?,Barbarian,??,???,"?, ?",-,"red, insect",,"Red insects only bite barbarians. If a red insect bites you then you have barbarian blood! Waaay back a barbarian was your aunt or uncle or great great grand pappy! But the insects kinda hurt, so it's a bit of a downside I guess.",If you see a red insect follow it and see who it bites. Then you'll know that person is at least part barbarian.,You follow the red insect and see it bite someone who must be a barbarian! You look up at their face but all you can see are giant Ray-Ban (??) sunglasses. You really want to look at his face to see what a barbarian looks like but those darn things are in the way!,Thanks to those Ray Bans you still don't know what a real life barbarian looks like. After going to all the trouble of following a red bug too. What a waste.,8786,level60 kanji
?,Bargain,??,-,"?, ?",-,"canopy, mona-lisa",,"Under this canopy is the Mona Lisa, being sold for cheap, what a great bargain! You never know what kind of bargains you'll find when you look under a canopy at the wares of a traveling salesperson.","Look really closely at this Mona Lisa. Hmm, I don't remember her having a mustache, but I guess it is a little dark under this canopy.","You want to make sure this bargain is as good as it seems, so you ask if you can get this Mona Lisa as a rental (??). Just for now, so you can make sure it's real before you buy it at that low, low price.","The salesperson pulls the painting away and mutters, ""Ah, yes, well this is such a good bargain already! And besides... it's already a rental, you see. From the, uh, the Louvre. So you really should just take this bargain and buy it!""",8787,level60 kanji
?,Censure,??,-,"?, ?",-,"slice, power",,If you want to slice the power out of someone just censure them. Then they'll be cut down in front of everyone and they'll feel super embarrassed. It's the best way to slice them down without actually cutting them and getting arrested.,Picture yourself as you slice the power out of that senator you hate by censuring them in front of the world!,"Once you censure them and they lose all their power, they'll be just another guy (??). A normal guy with everything lost to him. HAHAHA!",Look at that guy now. What a loser.,8788,level60 kanji
?,"Certain, One, That Person",??,"????, ????","?, ?",-,"sweet, tree",,"If you think a tree looks sweet you have to be certain before you bite into it. Trees are really hard, and usually pretty bitter (believe me) so if you don't want a mouthful of broken teeth, sap, and sadness, you really need to be sure it's the one before you start munching.",Which tree do you think is sweet? That one? Or that one? Are you absolutely certain? I hope you are!,"If you really want to be certain, and not just guess, take out your bowling (??) ball and roll it as hard as you can into the tree. If its the right one it will let out a sweet smell, if it's not the tree will punch you.","So now let me ask you again, are you certain, or would you like to try the bowling ball test?",8789,level60 kanji
